feature,promote_to_probable_line,keep_deferred,reserve_for_future_non_line
component_pixel_count_log,0.39490760292868593,-1.0073832825768816,0.6153975529543477
family_distance,-0.0327924426460687,-0.37232882316318355,0.40798752216923573
distance_term,0.021922703933481082,-0.004104711776336579,-0.007551141322243182
anchor_score,-0.06010703061778773,0.038940821422528304,-0.016666774212577205
family_strength_score,0.051770914096929375,-0.04158979628545807,0.006778441492952074
component_colinearity_score,0.09237231083381224,0.17697477845122267,-0.25657560221490916
component_run_score,0.048199154628576796,0.3225587143778278,-0.3708787794155828
microstructure_score,-2.113920700959124,-0.2529318935100903,2.3618770275815164
mixed_contact_score,-0.9743501694811473,-0.1100540274116997,1.0867855017666976
conflict_contact_score,-0.7947485763582697,2.1328375159401154,-1.3219580915852156
bbox_width_log,-0.007306733689145839,-0.06791246190256818,0.056997746272117567
bbox_height_log,0.05380301953366345,-0.31051110102855367,0.24739062236342504
major_length_log,0.4242699683098808,-0.8423727000025515,0.4162236533245341
minor_length_log,-0.378030299150706,0.35177235153731967,0.021244936802388665
bbox_area_log,-0.008122181598007861,-0.2537437774676272,0.2580391336606959
fill_ratio,0.43727492835100895,-0.4580142867981708,0.04382596125376045
aspect_ratio_log,0.5138201406844364,-0.863385963763716,0.35395806740137337
slenderness_score,0.32265047238179156,-0.592188104589813,0.2919142467400158
orientation_horizontal,-0.052579891022737045,0.057686625699007586,0.0014748759430363713
orientation_vertical,0.058510744559200786,-0.054442330958181115,-0.008541624556906534
g1_0_association_score,-0.0048476676436231755,-0.3036828297132323,0.3024401031035949
compact_symbol_risk,-0.3063773649826478,-0.6036708934494498,0.9122929532338364
bias,-0.41195254028286765,-0.4999181621791037,0.9007686401992221
