feature,promote_residual_geometry,keep_context,reserve_non_geometry
observed_pixel_count_log,0.18999957651407243,-0.5076942576248236,0.30100598045549193
inferred_span_pixel_count_log,0.0924439530599733,-0.04072938213568182,-0.0595795036864729
validation_score,0.7993152863275312,-0.014544393258749804,-0.777452457054639
overpromotion_risk,-0.6917995056196444,-0.3252918385492364,1.0296563938903072
upstream_axis_distance_px,-0.3733476074577043,-0.1757020222220663,0.45048977561639064
axis_distance_term,0.44500839133216297,0.06798303820676879,-0.5271863524308528
gap_score,-0.11228664283819063,0.20675991406984023,-0.11887987970258322
support_density,0.07474213689115486,-0.19284713408115858,0.09429900525164486
aspect_ratio_log,0.14927229036728942,-0.04803907116452163,-0.08515586404654747
slenderness_score,0.19117349472419284,-0.13816001305011102,-0.07881275534223067
blocking_score,-0.6064024527765031,-0.42132331783782856,1.0423232194057503
ambiguous_score,-1.0823696904781197,1.9572042973760062,-0.839024986884327
collective_member_score,0.5097239014461257,0.008629411787609533,-0.5521963697796488
orientation_horizontal,0.1070244042621811,-0.009633027254715558,-0.03317826216592417
orientation_vertical,-0.043281274493907396,0.03497792663246763,0.0855540600704805
near_upstream_score,0.6033459515705766,-0.12428297852510117,-0.5070406882129042
bias,-0.2542816810128467,-0.1681117072899525,0.4161001510684623
